pl_name,pl_rade,pl_bmasse,pl_disc,rowupdate,gravity
HD 126614 b,,120.00000,2009,2014-05-14,NaN
HD 148156 b,,270.14400,2009,2014-05-14,NaN
HD 38801 b,,3400.64000,2009,2014-05-14,NaN
HD 129445 b,,508.50700,2009,2014-05-14,NaN
HD 85390 b,,42.00000,2009,2014-05-14,NaN
61 Vir b,,5.10000,2009,2014-05-14,NaN
61 Vir c,,18.20000,2009,2014-05-14,NaN
HD 34445 b,,250.00000,2009,2014-05-14,NaN
HD 180902 b,,508.50700,2009,2014-05-14,NaN
2MASS J21402931+1625183 A b,10.310,6657.48000,2009,2014-05-14,62.66
HD 136418 b,,635.63300,2009,2014-05-14,NaN
BD+14 4559 b,,467.19000,2009,2014-05-14,NaN
HD 4313 b,,730.97800,2009,2014-05-14,NaN
BD+20 2457 b,,6807.63000,2009,2014-05-14,NaN
HD 8673 b,,4513.00000,2009,2014-05-14,NaN
HD 147018 b,,674.00000,2009,2014-05-14,NaN
WASP-19 b,15.536,371.21000,2009,2014-05-14,1.54
WASP-18 b,13.059,3314.83000,2009,2014-05-14,19.45
WASP-17 b,19.500,156.00000,2009,2014-05-14,1
WASP-15 b,16.010,172.00000,2009,2014-05-14,1
HD 110014 b,,3524.59000,2009,2014-05-14,NaN
WASP-13 b,15.569,151.59900,2009,2014-05-14,1
BD-08 2823 b,,14.40000,2009,2014-05-14,NaN
BD-08 2823 c,,104.00000,2009,2014-05-14,NaN
Kepler-4 b,4.002,24.47200,2009,2014-05-14,1.53
HD 147018 c,,2080.00000,2009,2014-05-14,NaN
HD 148427 b,,310.00000,2009,2014-05-14,NaN
HD 212771 b,,730.97800,2009,2014-05-14,NaN
HD 125612 d,,2286.00000,2009,2014-05-14,NaN
HD 63765 b,,203.40000,2009,2014-05-14,NaN
HD 40307 b,,4.00000,2009,2014-05-14,NaN
WASP-16 b,11.300,272.00000,2009,2014-05-14,2.13
HD 40307 d,,9.50000,2009,2014-05-14,NaN
HD 134987 c,,260.00000,2009,2014-05-14,NaN
30 Ari B b,,3140.03000,2009,2014-05-14,NaN
HD 30562 b,,436.36200,2009,2014-05-14,NaN
GJ 649 b,,104.24400,2009,2014-05-14,NaN
GJ 179 b,,260.61000,2009,2014-05-14,NaN
HD 181342 b,,1048.79000,2009,2014-05-14,NaN
HAT-P-13 c,,4538.42100,2009,2014-05-16,NaN
HD 156411 b,,235.18000,2009,2014-06-25,NaN
HD 171238 b,,826.32000,2009,2014-07-02,NaN
HD 181720 b,,117.59000,2009,2014-07-23,NaN
HD 190984 b,,985.20000,2009,2014-08-21,NaN
HAT-P-13 b,14.258,270.46200,2009,2014-10-15,1.33
MOA 2008-BLG-310L b,,74.00000,2009,2014-10-29,NaN
OGLE 2007-BLG-368L b,,20.00000,2009,2014-11-05,NaN
HD 215497 c,,104.30000,2009,2014-11-19,NaN
HD 290327 b,,807.25000,2009,2014-11-19,NaN
HD 215497 b,,6.60000,2009,2014-11-19,NaN
HD 240210 b,,1655.82000,2009,2014-11-19,NaN
CoRoT-7 b,1.585,5.74000,2009,2015-03-05,2.29
HD 6718 b,,496.00000,2009,2015-03-26,NaN
WASP-6 b,13.787,154.14755,2009,2015-04-16,1
HD 89307 b,,565.73740,2009,2015-04-24,NaN
HD 86264 b,,2224.81000,2009,2015-04-24,NaN
HD 87883 b,,565.73740,2009,2015-04-24,NaN
HD 96167 b,,216.12440,2009,2015-05-14,NaN
HIP 14810 d,,181.16310,2009,2015-05-14,NaN
CoRoT-7 c,,8.40000,2009,2015-09-10,NaN
Kepler-5 b,15.984,670.93913,2009,2015-10-15,2.63
Kepler-6 b,14.617,212.31044,2009,2015-10-15,1
Kepler-7 b,18.181,140.16303,2009,2015-10-15,1
GJ 1214 b,2.847,6.26125,2009,2015-12-03,1
WASP-22 b,12.980,186.87600,2010,2014-05-14,1.11
WASP-21 b,11.990,95.34500,2010,2014-05-14,1
Kepler-11 d,3.120,7.30000,2010,2014-05-14,1
ups And e,,336.56800,2010,2014-05-14,NaN
Kepler-11 c,2.870,2.90000,2010,2014-05-14,1
Kepler-11 f,2.490,2.00000,2010,2014-05-14,1
CoRoT-11 b,16.030,740.51000,2010,2014-05-14,2.88
HAT-P-14 b,12.890,709.36700,2010,2014-05-14,4.27
HAT-P-15 b,12.016,618.47100,2010,2014-05-14,4.29
HAT-P-16 b,14.448,1332.60500,2010,2014-05-14,6.39
HAT-P-17 b,11.321,169.71000,2010,2014-05-14,1.32
HAT-P-18 b,11.153,62.61000,2010,2014-05-14,1
HAT-P-20 b,9.718,2302.89900,2010,2014-05-14,24.40
2MASS J04414489+2301513 b,,2383.60000,2010,2014-05-14,NaN
