kepler_name,koi_disposition,koi_vet_stat,koi_datalink_dvs,koi_vet_date
,CANDIDATE,Active,006/006422/006422070/dv/kplr006422070-001-20141002224145_dvs.pdf,2015-09-18
Kepler-242 b,CONFIRMED,Active,006/006428/006428700/dv/kplr006428700-001-20141002224145_dvs.pdf,2015-09-18
Kepler-242 c,CONFIRMED,Active,006/006428/006428700/dv/kplr006428700-002-20141002224145_dvs.pdf,2015-09-18
,CANDIDATE,Active,005/005792/005792202/dv/kplr005792202-003-20141002224145_dvs.pdf,2015-09-18
Kepler-241 b,CONFIRMED,Active,005/005794/005794379/dv/kplr005794379-001-20141002224145_dvs.pdf,2015-09-18
Kepler-241 c,CONFIRMED,Active,005/005794/005794379/dv/kplr005794379-002-20141002224145_dvs.pdf,2015-09-18
,CANDIDATE,Active,005/005881/005881688/dv/kplr005881688-001-20141002224145_dvs.pdf,2015-09-18
,CANDIDATE,Active,006/006022/006022556/dv/kplr006022556-001-20141002224145_dvs.pdf,2015-09-18
,CANDIDATE,Active,006/006032/006032497/dv/kplr006032497-001-20141002224145_dvs.pdf,2015-09-18
,CANDIDATE,Active,006/006061/006061119/dv/kplr006061119-001-20141002224145_dvs.pdf,2015-09-18
,CANDIDATE,Active,006/006191/006191521/dv/kplr006191521-001-20141002224145_dvs.pdf,2015-09-18
,FALSE POSITIVE,Active,006/006267/006267425/dv/kplr006267425-001-20141002224145_dvs.pdf,2015-09-18
,CANDIDATE,Active,003/003531/003531558/dv/kplr003531558-001-20141002224145_dvs.pdf,2015-09-18
,CANDIDATE,Active,006/006276/006276477/dv/kplr006276477-001-20141002224145_dvs.pdf,2015-09-18
,CANDIDATE,Active,006/006863/006863998/dv/kplr006863998-001-20141002224145_dvs.pdf,2015-09-18
,CANDIDATE,Active,006/006867/006867155/dv/kplr006867155-001-20141002224145_dvs.pdf,2015-09-18
Kepler-245 b,CONFIRMED,Active,006/006948/006948054/dv/kplr006948054-001-20141002224145_dvs.pdf,2015-09-18
Kepler-245 d,CONFIRMED,Active,006/006948/006948054/dv/kplr006948054-002-20141002224145_dvs.pdf,2015-09-18
Kepler-245 c,CONFIRMED,Active,006/006948/006948054/dv/kplr006948054-003-20141002224145_dvs.pdf,2015-09-18
,CANDIDATE,Active,006/006435/006435936/dv/kplr006435936-001-20141002224145_dvs.pdf,2015-09-18
,CANDIDATE,Active,006/006522/006522242/dv/kplr006522242-001-20141002224145_dvs.pdf,2015-09-18
,CANDIDATE,Active,006/006526/006526710/dv/kplr006526710-001-20141002224145_dvs.pdf,2015-09-18
Kepler-243 b,CONFIRMED,Active,006/006587/006587280/dv/kplr006587280-001-20141002224145_dvs.pdf,2015-09-18
Kepler-108 b,CONFIRMED,Active,009/009471/009471974/dv/kplr009471974-001-20141002224145_dvs.pdf,2015-09-18
Kepler-243 c,CONFIRMED,Active,006/006587/006587280/dv/kplr006587280-002-20141002224145_dvs.pdf,2015-09-18
,CANDIDATE,Active,006/006599/006599919/dv/kplr006599919-001-20141002224145_dvs.pdf,2015-09-18
,FALSE POSITIVE,Active,006/006675/006675056/dv/kplr006675056-001-20141002224145_dvs.pdf,2015-09-18
,CANDIDATE,Active,006/006685/006685526/dv/kplr006685526-001-20141002224145_dvs.pdf,2015-09-18
,FALSE POSITIVE,Active,006/006756/006756669/dv/kplr006756669-001-20141002224145_dvs.pdf,2015-09-18
,CANDIDATE,Active,006/006784/006784235/dv/kplr006784235-001-20141002224145_dvs.pdf,2015-09-18
Kepler-244 b,CONFIRMED,Active,006/006849/006849310/dv/kplr006849310-001-20141002224145_dvs.pdf,2015-09-18
